idDatosGrasas,codigoGrasa,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Indice de Carga-Desgaste,"Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Corrosión al Cobre,Registro NSF,Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura
1,ANDEROL_FGCS_2,Mineral USP,Complejo Sulfonato de Calcio,2.0,95,280,318,,408,,,,,,,,-20,160,Grasa,Calcium Sulfonate Complex Grease NLGI 2,"Grasa H1 de alta carga, excelente estabilidad mecánica y muy buena resistencia al agua.",Alta carga 4000N; Excelente estabilidad; Resistencia al lavado; Protección contra corrosión.,"Industria alimentaria, envasado, cárnicos, farmacéutica.",Tan,"Suave, estable"
2,Delo_EP_00,Mineral,Complejo de Litio,00,226,415,,,315,,,,,,,,-40,132,Grasa,Complejo de Litio NLGI 00,Grasa semifluida para sistemas centralizados y aplicaciones de baja temperatura.,Alta capacidad de carga a presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a altas temperaturas; Excepcional bombeabilidad a bajas temperaturas,Sistemas automáticos de lubricación; vehículos pesados; camiones.,Azul,Adherente
3,Delo_EP_0,Mineral,Complejo de Litio,0,226,370,235,,315,,,,,,,,-40,132,Grasa,Complejo de Litio NLGI 0,Grasa EP para bajas temperaturas y buena bombeabilidad en equipos móviles.,Alta capacidad de carga a presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a altas temperaturas; Excepcional bombeabilidad a bajas temperaturas,"Tractores, camiones, equipos utilitarios; sistemas centralizados.",Azul,Adherente
4,Delo_EP_1,Mineral,Complejo de Litio,1,226,325,245,,315,,,,,,,,-40,177,Grasa,Complejo de Litio NLGI 1,Grasa EP para aplicaciones de fricción media y alta estabilidad térmica.,Alta capacidad de carga a presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a altas temperaturas; Excepcional bombeabilidad a bajas temperaturas,Wheel bearings; chasis; automotriz y transporte pesado.,Azul,Adherente
5,Delo_EP_2,Mineral,Complejo de Litio,2,226,280,255,,315,,,,,,,,-40,177,Grasa,Complejo de Litio NLGI 2,"Grasa EP de uso general para altas cargas, buena estabilidad y resistencia al agua.",Alta capacidad de carga a presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a altas temperaturas; Excepcional bombeabilidad a bajas temperaturas,"Automotriz, camiones, maquinaria ligera, wheel bearings.",Azul,Adherente
6,STARPLEX_EP_00,Mineral Refinado,Complejo de Litio,00,220,415,,,315,,,,,,,,-40,132,Grasa,Grasa EP NLGI 00,Grasa EP para aplicaciones severas en vehículos y equipo ligero todoterreno.,Capacidad de carga de presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a alta temperatura; Excelente capacidad de bombeo a baja temperatura,"Chasis, cojinetes, sistemas de lubricación centralizada, vehículos pesados y livianos.",Rojo,Pegajosa
7,STARPLEX_EP_0,Mineral Refinado,Complejo de Litio,0,220,370,235,,315,,,,,,,,-40,132,Grasa,Grasa EP NLGI 0,Grasa de presión extrema formulada para aplicaciones de chasis y rodamientos a temperaturas variables.,Capacidad de carga de presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a alta temperatura; Excelente capacidad de bombeo a baja temperatura,"Lubricación centralizada, vehículos de carretera, aplicaciones todoterreno ligeras.",Rojo,Pegajosa
8,STARPLEX_EP_1,Mineral Refinado,Complejo de Litio,1,220,325,245,,315,,,,,,,,-40,177,Grasa,Grasa EP NLGI 1,Grasa EP para rodamientos y chasis diseñada para operar en amplios rangos térmicos.,Capacidad de carga de presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a alta temperatura; Excelente capacidad de bombeo a baja temperatura,"Rodamientos, chasis, equipos pesados y aplicaciones de temperatura elevada.",Rojo,Pegajosa
9,STARPLEX_EP_2,Mineral Refinado,Complejo de Litio,2,220,280,255,,315,,,,,,,,-40,177,EP,Grasa EP NLGI 2,"Grasa EP universal para servicio severo, adecuada para rodamientos y chasis.",Capacidad de carga de presión extrema; Excelente protección contra corrosión y desgaste; Excelente resistencia al agua; Excelente estabilidad a alta temperatura; Excelente capacidad de bombeo a baja temperatura,"Chasis, rodamientos automotrices, equipo mixto, quinta rueda, maquinaria ligera y mediana.",Rojo,Pegajosa
10,ULTRAPLEX-MCS-1,Mineral refinado,Complejo Sulfonato de Calcio,1,460,320,300,,620,,,,,,,,-20,180,Grasa,Grasa sulfonato de calcio reforzada NLGI 1,"Grasa de alta carga y excelente resistencia al agua, fabricada con aceite base de alta viscosidad y espesante sulfonato de calcio.",Excelente capacidad de carga; Alta protección contra corrosión; Gran resistencia al lavado por agua; Alta estabilidad mecánica; Adherencia extraordinaria; Elevada resistencia al envejecimiento.,"Cojinetes, engranajes abiertos, reductores, acoplamientos, cables, maquinaria minera, obras públicas, siderúrgica, portuaria, cementera y alimentaria.",Ámbar anaranjado transparente,Adherente
